time,seconds_elapsed,z,y,x
1763368284221007400,0.06000732421875,-0.9258270263671875,-0.4468536376953125,-0.0031280517578125
1763368284231032300,0.0700322265625,-0.9154510498046875,-0.48333740234375,-0.0037994384765625
1763368284241057300,0.080057373046875,-0.9014129638671875,-0.479766845703125,0.0060272216796875
1763368284251082500,0.09008251953125,-0.8683319091796875,-0.4342498779296875,0.0385894775390625
1763368284261107500,0.100107421875,-0.87921142578125,-0.3743438720703125,0.061309814453125
1763368284271132400,0.11013232421875,-0.9097137451171875,-0.3592987060546875,0.0126953125
1763368284281157400,0.120157470703125,-0.9064483642578125,-0.38934326171875,-0.0774688720703125
1763368284291183400,0.130183349609375,-0.8439483642578125,-0.4167938232421875,-0.153961181640625
1763368284301208600,0.14020849609375,-0.749420166015625,-0.4120635986328125,-0.1725311279296875
1763368284311233500,0.150233642578125,-0.663848876953125,-0.3535308837890625,-0.1111907958984375
1763368284321258200,0.16025830078125,-0.6174163818359375,-0.2928466796875,-0.0277099609375
1763368284331283500,0.170283447265625,-0.6150665283203125,-0.335723876953125,-0.00762939453125
1763368284341308400,0.180308349609375,-0.5994720458984375,-0.386962890625,-0.008514404296875
1763368284351333400,0.19033349609375,-0.4979400634765625,-0.3656005859375,0.05377197265625
1763368284361358300,0.2003583984375,-0.4282073974609375,-0.2472686767578125,0.1733856201171875
1763368284371383600,0.210383544921875,-0.393096923828125,-0.1540679931640625,0.21923828125
1763368284381409300,0.2204091796875,-0.3501434326171875,-0.16082763671875,0.14312744140625
1763368284391434500,0.2304345703125,-0.3687591552734375,-0.25396728515625,0.1113433837890625
1763368284401459500,0.24045947265625,-0.4022216796875,-0.3623504638671875,0.082916259765625
1763368284411484400,0.250484375,-0.473785400390625,-0.4619598388671875,0.0133056640625
1763368284421509600,0.260509521484375,-0.498504638671875,-0.547088623046875,-0.0681304931640625
1763368284431534600,0.27053466796875,-0.3955230712890625,-0.5464324951171875,-0.0338134765625
1763368284441559300,0.280559326171875,-0.3080291748046875,-0.45416259765625,0.0544586181640625
1763368284451584300,0.290584228515625,-0.2760467529296875,-0.36798095703125,0.0898590087890625
1763368284461609500,0.300609375,-0.2777557373046875,-0.313934326171875,0.0792083740234375
1763368284471635500,0.310635498046875,-0.3270416259765625,-0.2605743408203125,0.07177734375
1763368284481660400,0.320660400390625,-0.340789794921875,-0.244476318359375,0.1204986572265625
1763368284491685400,0.330685302734375,-0.4005279541015625,-0.296600341796875,0.0992889404296875
1763368284501710300,0.34071044921875,-0.5975189208984375,-0.4545440673828125,-0.050506591796875
1763368284511735600,0.350735595703125,-0.68536376953125,-0.567779541015625,-0.08880615234375
1763368284521760500,0.360760498046875,-0.661102294921875,-0.591583251953125,-0.054443359375
1763368284531785500,0.370785400390625,-0.64617919921875,-0.5347137451171875,-0.044647216796875
1763368284541810400,0.380810546875,-0.63458251953125,-0.4192047119140625,-0.03173828125
1763368284551835400,0.39083544921875,-0.7194366455078125,-0.2646636962890625,0.0531463623046875
1763368284561861600,0.400861572265625,-0.8128509521484375,-0.1053466796875,0.1212158203125
1763368284571886300,0.41088623046875,-0.80364990234375,-0.029052734375,0.136627197265625
1763368284581911300,0.420911376953125,-0.8307647705078125,-0.0580291748046875,0.1725311279296875
1763368284591936300,0.430936279296875,-0.7762451171875,-0.1502532958984375,0.2102203369140625
1763368284601961500,0.44096142578125,-0.6624755859375,-0.1860504150390625,0.3637847900390625
1763368284611986400,0.450986328125,-0.531524658203125,-0.1374969482421875,0.638885498046875
1763368284622011400,0.461011474609375,-0.5116119384765625,-0.0448150634765625,0.9074249267578125
1763368284632036400,0.471036376953125,-0.5983123779296875,0.0673675537109375,1.0792388916015625
1763368284642061600,0.4810615234375,-0.7230224609375,0.1278839111328125,1.183837890625
1763368284652087600,0.491087646484375,-0.806640625,0.0607452392578125,1.2666168212890625
1763368284662112500,0.501112548828125,-0.8133697509765625,-0.0414886474609375,1.2927398681640625
1763368284672137500,0.511137451171875,-0.79150390625,-0.1302490234375,1.2813568115234375
1763368284682162400,0.521162353515625,-0.7760009765625,-0.2073974609375,1.22821044921875
1763368284692187400,0.5311875,-0.7307586669921875,-0.233428955078125,1.14483642578125
1763368284702212400,0.54121240234375,-0.6713714599609375,-0.21044921875,1.073455810546875
1763368284712237300,0.5512373046875,-0.599884033203125,-0.16851806640625,1.0666046142578125
1763368284722262300,0.56126220703125,-0.5144195556640625,-0.1193389892578125,1.1346893310546875
1763368284732288300,0.571288330078125,-0.4521331787109375,-0.1010894775390625,1.2836761474609375
1763368284742313500,0.5813134765625,-0.4064788818359375,-0.118377685546875,1.434722900390625
1763368284752338400,0.59133837890625,-0.353912353515625,-0.1249237060546875,1.5809326171875
1763368284762363400,0.60136328125,-0.2924652099609375,-0.1205596923828125,1.698211669921875
1763368284772388400,0.611388427734375,-0.2521514892578125,-0.1142730712890625,1.70294189453125
1763368284782413600,0.62141357421875,-0.2247467041015625,-0.1200408935546875,1.5848388671875
1763368284792438500,0.6314384765625,-0.220977783203125,-0.1444854736328125,1.398193359375
1763368284802463200,0.641463134765625,-0.2156829833984375,-0.18939208984375,1.2053375244140625
1763368284812487400,0.6514873046875,-0.2141571044921875,-0.1822967529296875,1.1324005126953125
1763368284822513400,0.661513427734375,-0.1552276611328125,-0.1136322021484375,1.18804931640625
1763368284832538400,0.671538330078125,-0.0323486328125,-0.05938720703125,1.2730865478515625
1763368284842563300,0.681563232421875,0.1251678466796875,-0.0408477783203125,1.3843231201171875
1763368284852588300,0.69158837890625,0.2869720458984375,-0.030242919921875,1.494659423828125
1763368284862613500,0.701613525390625,0.375732421875,-0.074249267578125,1.4915771484375
