time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1763368284237298400,0.07629833984375,-1.1208410329264498,-0.19067535238482397,0.5181770584165779,-0.0047874157251681275,-0.8247130733390969,0.12240806030931496,0.45711706995204054
1763368284247323400,0.086323486328125,-1.1128069713514592,-0.19628211546128047,0.5137554454479193,0.001287927009982438,-0.8263203139143941,0.1213398996922927,0.4657151094273472
1763368284257348400,0.096348388671875,-1.1010784162812486,-0.20232111640212005,0.5076575785262486,0.008508634304069656,-0.8289194924466239,0.11934200585092074,0.47415359500923004
1763368284267373300,0.106373291015625,-1.0865398094289809,-0.20908982573533247,0.5000926697485149,0.01805984960031236,-0.8323025627270435,0.11602289712481989,0.48261422170979823
1763368284277398300,0.116398193359375,-1.071114878500196,-0.21680121019085927,0.4917031852684317,0.03090304816024045,-0.8359751591618629,0.11122437099988516,0.4913987691989256
1763368284287423500,0.126423583984375,-1.057055256516357,-0.225312535107704,0.48340650988091416,0.04674579156821502,-0.8393176113601506,0.10534940613692974,0.5007353451766496
1763368284297448400,0.136448486328125,-1.0461740848077419,-0.23414016994049158,0.47612665197637577,0.06383297534509791,-0.8417871955476036,0.09937896301574124,0.5107438925799401
1763368284307473400,0.146473388671875,-1.0389918992662373,-0.24286374011857412,0.4703103410845863,0.08006201497485026,-0.8431630084339596,0.09434851351604878,0.5216295204900887
1763368284317498400,0.156498291015625,-1.0349459167278003,-0.251333842794215,0.46588557289082827,0.09396916869963977,-0.8435124392095597,0.09093188431489341,0.5337138129088262
1763368284327523600,0.166523681640625,-1.0339615934649833,-0.2594877481139606,0.4628477602970716,0.1056807798102403,-0.8429180962253056,0.08903441738843156,0.5467018045640689
1763368284337549600,0.176549560546875,-1.0359012617369026,-0.2669443272727911,0.4611607014792116,0.1162003615744446,-0.8416347696199081,0.08787702543229395,0.5590606754317814
1763368284347574500,0.186574462890625,-1.0398570794642898,-0.27312641788313685,0.46063558692699014,0.12514953291995856,-0.8400076172110007,0.08720139546673839,0.5694782042381353
1763368284357599500,0.196599609375,-1.0447739230086825,-0.2782169819855143,0.460894440911796,0.13174636568333473,-0.8381743016310709,0.08738122574028075,0.5786995448375767
1763368284367624400,0.20662451171875,-1.0497021590424995,-0.28269391489190066,0.46140211292206146,0.13666215419704159,-0.8363126896578962,0.08816661176121862,0.5874034112353792
1763368284377649400,0.2166494140625,-1.0543871670061364,-0.28660407983993136,0.46193540223216595,0.1413432168007145,-0.8346263535838156,0.08872821727659261,0.594854249674125
1763368284387674400,0.22667431640625,-1.0583506420305935,-0.2902688118355999,0.462050793881935,0.1478720432174545,-0.8333712418345124,0.08800848392361603,0.6005934145367259
1763368284397699300,0.23669921875,-1.06083337557939,-0.29401080760440773,0.46121568161724097,0.15792394931149312,-0.8328210348653948,0.08512921453313788,0.6043685907862746
1763368284407724300,0.246724365234375,-1.0611306832250371,-0.2980281651164886,0.45899537616865144,0.17254787947388014,-0.8331764090816542,0.079496062256905,0.6060151217444754
1763368284417749500,0.25674951171875,-1.0590495958359758,-0.30174176499190186,0.45563021847671087,0.1897659234798328,-0.8343831951870768,0.07181717199700421,0.6052657833440356
1763368284427775500,0.266775390625,-1.055598010647524,-0.303965410939519,0.4522484759893145,0.2052306878709457,-0.8360536784031157,0.06395727543724228,0.6017815588791927
1763368284437800400,0.276800537109375,-1.0522985871579469,-0.30406365633601523,0.44986767033105857,0.21681252954908536,-0.837805809643084,0.05697187044127457,0.5952939938272613
1763368284447825400,0.286825439453125,-1.0504062838153985,-0.30191295823436265,0.4490641200893635,0.2244587583146883,-0.8393964101985721,0.05102495466318134,0.5855721009407238
1763368284457850400,0.296850341796875,-1.0505116431139283,-0.2976152981057407,0.4499816666284636,0.2289928878541369,-0.8407395322468072,0.04581095695684539,0.5724131091682731
1763368284467875600,0.30687548828125,-1.0528092753282805,-0.29206770600440346,0.45221334055607,0.23300437928170242,-0.8417619244919954,0.04045288943338613,0.556584871824679
1763368284477900500,0.316900634765625,-1.0571316529473294,-0.2863919411755706,0.4551929738822886,0.2386845875272365,-0.8423765069000515,0.03436334727326373,0.5395891917760957
1763368284487925500,0.326925537109375,-1.0627937952473123,-0.28146641401962896,0.4583377422660578,0.2469132323892423,-0.8425847858050711,0.027459860186747283,0.5230104596894434
1763368284497950200,0.3369501953125,-1.0684299172015652,-0.27821421781921485,0.46074980300956536,0.2588729115232952,-0.8425727185190074,0.019437119383292407,0.5083570551015051
1763368284507975400,0.346975341796875,-1.0735892462683698,-0.2770594887082967,0.46208252869469496,0.27523840120155535,-0.8423866915959551,0.010124005297329191,0.4962584870998199
1763368284518001400,0.35700146484375,-1.0791282939019324,-0.277923179661775,0.46276295319905947,0.29524010980101184,-0.8417892850578579,0.00004701026505062243,0.48696859159826134
1763368284528026400,0.3670263671875,-1.0863029473468007,-0.28079806227948506,0.4633192140242609,0.31844854412515233,-0.8404644056240579,-0.010358754113607965,0.4807031292326581
1763368284538051300,0.37705126953125,-1.096564554267254,-0.2853968350705221,0.46448034550508244,0.3437496890841671,-0.8380869144016915,-0.020420044205271156,0.47732553206980605
1763368284548076300,0.387076171875,-1.1114393732548207,-0.2915569265703009,0.46684881937827044,0.37172671246323474,-0.8343417816202707,-0.03034026900765297,0.47595511310963773
1763368284558101500,0.3971015625,-1.131310283348952,-0.29977750130111913,0.47010935890356903,0.4059430806552813,-0.8290890259652365,-0.04173867219947139,0.47556518865271685
