time,seconds_elapsed,z,y,x
1763367247534246000,0.084245849609375,0.4556109309196472,1.7656829357147217,-0.05842043459415436
1763367247544273000,0.09427294921875,0.5811960101127625,2.059216022491455,-0.24114631116390228
1763367247554300000,0.1042998046875,0.6928309202194214,2.3828611373901367,-0.5155261754989624
1763367247564327000,0.114326904296875,0.7240756750106812,2.3962135314941406,-0.7631895542144775
1763367247574354000,0.12435400390625,0.6361522078514099,2.1754837036132812,-0.9591542482376099
1763367247584381000,0.134380859375,0.4722687304019928,1.7138773202896118,-1.0591481924057007
1763367247594407700,0.14440771484375,0.28045162558555603,1.1580337285995483,-1.057835578918457
1763367247604435000,0.15443505859375,0.07918403297662735,0.7220538258552551,-0.9433693885803223
1763367247614462000,0.1644619140625,-0.13271597027778625,0.5561383366584778,-0.7135804295539856
1763367247624488700,0.17448876953125,-0.37942934036254883,0.5229620337486267,-0.3760332763195038
1763367247634517000,0.18451708984375,-0.6269344687461853,0.4793032109737396,-0.009415073320269585
1763367247644544000,0.1945439453125,-0.8444889187812805,0.36684030294418335,0.29973292350769043
1763367247654570800,0.20457080078125,-1.041775107383728,0.1492278277873993,0.5327445864677429
1763367247664598000,0.214597900390625,-1.252413272857666,-0.1171809509396553,0.7048130631446838
1763367247674625000,0.224625,-1.4932488203048706,-0.3262462913990021,0.8578454852104187
1763367247684651800,0.23465185546875,-1.7659649848937988,-0.3340165913105011,0.9970654249191284
1763367247694678800,0.2446787109375,-1.9314152002334595,-0.09704798460006714,1.0851178169250488
1763367247704706000,0.2547060546875,-1.8751202821731567,0.6258249878883362,1.0570334196090698
1763367247714732800,0.26473291015625,-1.6841002702713013,1.6245464086532593,0.9771692156791687
1763367247724759800,0.274759765625,-1.4928152561187744,2.6805977821350098,0.9077988862991333
1763367247734787000,0.284787109375,-1.4000182151794434,3.4200549125671387,0.7928576469421387
1763367247744814800,0.29481494140625,-1.3955001831054688,3.9145970344543457,0.7482571601867676
1763367247754841900,0.304841796875,-1.3793115615844727,4.075076103210449,0.7601143717765808
1763367247764868900,0.314868896484375,-1.3212192058563232,3.967294692993164,0.7629706263542175
1763367247774895900,0.324895751953125,-1.332375168800354,3.8879921436309814,0.6493117213249207
1763367247784923000,0.3349228515625,-1.538597583770752,4.0190887451171875,0.40896594524383545
1763367247794950000,0.344949951171875,-1.799575686454773,4.385883331298828,0.18839973211288452
1763367247804977000,0.354976806640625,-1.9933747053146362,4.439305782318115,0.10398764908313751
1763367247815004000,0.36500390625,-2.1230762004852295,4.121636867523193,0.16254150867462158
1763367247825031000,0.375031005859375,-2.20915150642395,3.346236228942871,0.45173683762550354
1763367247835058000,0.385057861328125,-2.28421950340271,2.9242892265319824,0.8798037767410278
1763367247845086000,0.3950859375,-2.3567299842834473,2.4609110355377197,1.3709862232208252
1763367247855112700,0.40511279296875,-2.4172980785369873,2.07837176322937,1.7527046203613281
1763367247865140000,0.415139892578125,-2.416386127471924,2.1784183979034424,1.6253442764282227
1763367247875167000,0.4251669921875,-2.295948028564453,2.292571544647217,1.0608278512954712
1763367247885193700,0.43519384765625,-2.155488967895508,1.934075951576233,0.5381311178207397
1763367247895221000,0.445220947265625,-2.1680853366851807,1.6500011682510376,0.0569106861948967
1763367247905248000,0.455248046875,-2.348799467086792,1.5960705280303955,-0.3446868062019348
1763367247915274800,0.465274658203125,-2.6541404724121094,1.7960102558135986,-0.6236957907676697
1763367247925301800,0.4753017578125,-2.9784038066864014,2.2637572288513184,-0.7412291169166565
1763367247935329000,0.4853291015625,-3.2608842849731445,2.598314046859741,-0.6239597201347351
1763367247945356800,0.495356689453125,-3.429044008255005,2.641829490661621,-0.334661066532135
1763367247955384000,0.505384033203125,-3.4359307289123535,2.5192198753356934,0.008565524592995644
1763367247965411000,0.5154111328125,-3.3739051818847656,2.3322577476501465,0.3304239809513092
1763367247975437800,0.525437744140625,-3.2263965606689453,2.1951282024383545,0.6022384762763977
1763367247985464800,0.53546484375,-2.94358491897583,2.1940906047821045,0.7869465351104736
1763367247995492000,0.5454921875,-2.6223297119140625,2.2781577110290527,0.8627728223800659
1763367248005518800,0.555518798828125,-2.3860015869140625,2.341390609741211,0.8660240173339844
1763367248015545900,0.5655458984375,-2.2181737422943115,2.2683210372924805,0.7861701846122742
1763367248025573000,0.575572998046875,-2.0717952251434326,2.0363821983337402,0.5669230818748474
1763367248035600000,0.585599853515625,-1.9536163806915283,1.5558745861053467,0.20548418164253235
1763367248045628000,0.5956279296875,-1.819826364517212,0.8846224546432495,-0.3743874430656433
1763367248055655000,0.605655029296875,-1.681068778038025,0.2921468913555145,-1.0308606624603271
1763367248065682000,0.615681884765625,-1.6176868677139282,0.20701895654201508,-1.492774248123169
1763367248075709000,0.625708984375,-1.1747909784317017,0.2784918248653412,-1.8652937412261963
1763367248085735700,0.635735595703125,-0.4740264117717743,0.4042108654975891,-2.2543976306915283
1763367248095763000,0.645762939453125,0.059608202427625656,0.4906136691570282,-2.5292017459869385
1763367248105790000,0.6557900390625,0.5362096428871155,0.2911042869091034,-2.8931777477264404
1763367248115816700,0.665816650390625,0.7514460682868958,-0.13905908167362213,-3.3700625896453857
1763367248125844000,0.675843994140625,0.6331495046615601,-0.5436132550239563,-3.6582961082458496
1763367248135871000,0.68587109375,0.35327285528182983,-0.8663116693496704,-3.745373010635376
1763367248145898000,0.69589794921875,0.17440323531627655,-0.9337106347084045,-3.4631214141845703
1763367248155926000,0.705926025390625,0.11557240039110184,-0.9012659192085266,-3.0691044330596924
1763367248165953000,0.715953125,0.079947829246521,-0.7373805642127991,-2.5717132091522217
1763367248175979800,0.725979736328125,0.0840778574347496,-0.5964130759239197,-2.0072720050811768
1763367248186006800,0.7360068359375,0.11498250812292099,-0.1786736100912094,-1.4274311065673828
1763367248196034000,0.746033935546875,0.07131092995405197,0.20231981575489044,-0.8169507384300232
